业绩归属战区,公司名称,合同名称,JDY销售额-D_万,签单日期_str,JDY客户分类,三级分类
北京大区,蒙牛乳业（北京）有限责任公司,蒙牛26年jdy续费,60.0,2026-01-23,JDY老客,续费
北京大区,中国电建市政建设集团有限公司,简道云账号增购 600 个,23.4,2026-03-03,JDY老客,升级
华南大区,茂名重力石化装备股份公司,升级企业版需求,49.95,2026-02-28,JDY老客,新购
华南大区,广西中烟工业有限责任公司,BI+简道云机会,42.0,2026-04-30,JDY新客,新购
华南大区,深圳市水务（集团）有限公司,深圳市水务集团的简道云独享版增购,32.3,2026-03-30,JDY老客,升级
华南大区,广东爱码科技股份有限公司,工程管理系统需求,25.2,2026-04-29,JDY新客,新购
华南大区,广州樊文花化妆品有限公司,【自动创建】广州樊文花化妆品有限公司的简道云公有云续费商机2026,22.85,2026-03-13,JDY老客,升级
华南大区,国家管网集团北海液化天然气有限责任公司,国家管网集团北海液化天然气有限责任公司简道云国产化,22.6,2026-03-12,JDY老客,新购
苏皖大区,扬州中远海运重工有限公司,扬州中远信创产品采购,110.0,2026-01-15,Fine+老客推新,新购
苏皖大区,东华汽车实业有限公司,【简道云】东华智能转向本地化,60.0,2026-04-20,Fine+老客推新,新购
苏皖大区,南通烟滤嘴有限责任公司,南通烟滤嘴简道云本地化,42.0,2026-04-08,Fine+老客推新,新购
苏皖大区,罗氏诊断产品（苏州）有限公司,罗氏张江工厂jdy——rodney+anson,39.55,2026-01-09,JDY新客,新购
苏皖大区,江苏国信协联能源有限公司,国信协联BI+简道云机会,27.2,2026-04-24,JDY新客,新购
苏皖大区,北汽蓝谷麦格纳汽车有限公司,北汽蓝谷麦格纳汽车2026-2028简道云续费,26.11,2026-02-27,JDY老客,续费
苏皖大区,苏州新建元数字科技有限公司,数科2025年JDY续费,23.46,2026-03-03,JDY老客,续费
苏皖大区,无锡市同步电子科技股份有限公司,JDY商务管理系统,20.79,2026-04-22,JDY老客,新购
西北大区,陕西中烟工业有限责任公司延安卷烟厂,延安卷烟厂简道云本地化,150.5,2026-02-24,JDY老客,新购
西北大区,中车兰州机车有限公司,中车兰州机车简道云独享版采购,39.0,2026-04-10,JDY新客,新购
西北大区,神华新街能源有限责任公司,简道云正版软件采购,33.0,2026-01-20,JDY老客,续费
西北大区,中交西安筑路机械有限公司,西筑简道云saas版,32.94,2026-04-22,JDY新客,新购
西北大区,中交第二公路工程局有限公司,【自动创建】中交第二公路工程局有限公司的简道云公有云续费商机2026,28.6,2026-03-30,JDY老客,续费
西南大区,四川壤塘华电清能电力开发有限公司,理县星河电力有限责任公司简道云本地化,55.5,2026-04-13,JDY老客,新购
西南大区,深蓝汽车科技有限公司,26-27深蓝汽车简道云机会,39.4,2026-01-28,JDY老客,新购
西南大区,长安福特汽车有限公司,【自动创建】【国资企业】长安福特汽车有限公司的简道云公有云续费商机,23.05,2026-01-19,JDY老客,续费
西南大区,四川郎酒集团有限责任公司,郎酒简道云 26年续费,20.0,2026-02-27,JDY老客,新购
