公司名称,合同名称,JDY销售额-D_万,签单日期_str,JDY客户分类,三级分类
丽晶维珍妮内衣（深圳）有限公司,简道云公有云转本地化部署项目,72.0,2025-03-25,JDY老客,新购
广东优力普物联科技有限公司,优力普-华为云 补贴项目,67.62,2025-02-07,JDY老客,新购
蒙牛乳业（北京）有限责任公司,蒙牛本地化机会,60.0,2025-03-31,JDY老客,新购
中铁南方投资集团有限公司,简道云-1000用户数增购,36.0,2025-01-20,JDY老客,升级
广州樊文花化妆品有限公司,樊文花25年产品,35.0,2025-03-04,JDY老客,新购
联合利华（中国）有限公司从化分公司,联合利华简道云访客系统,33.58,2025-03-24,JDY老客,新购
上汽通用五菱汽车股份有限公司,订单号:20250305170612656997243流水号:SO#20250305-1429,29.83,2025-03-05,JDY老客,续费
东风柳州汽车有限公司,柳汽简道云25年增购,27.72,2025-03-26,JDY老客,升级
广州粤海万亚投资发展有限公司,番禺天河城okr需求,22.4,2025-02-13,JDY新客,新购
广西柳州钢铁集团有限公司,简道云资源增购,22.19,2025-03-24,JDY老客,升级
东风本田汽车零部件有限公司,东风本田汽车零部件有限公司人数增购需求,21.55,2025-03-19,JDY老客,升级
珠海汉胜科技股份有限公司,珠海汉胜升级续费5年,21.46,2025-03-05,JDY老客,升级
中铁南方投资集团有限公司,南投4年维保-JDY,20.0,2025-01-20,JDY老客,基础售后服务
